User Type,Previous Page Path,Landing Page,Pageviews,Time on Page
NV,*,/,1,24
NV,*,/,2,1014
RV,*,/,1,44
NV,*,/,1,30
RV,*,/,1,62
NV,*,/,2,105
NV,*,/,1,54
NV,*,/,1,19
NV,*,/,1,34
NV,*,/,1,20
NV,*,/,1,1763
NV,*,/,1,22
NV,*,/,1,59
NV,*,/,1,35
RV,*,/,1,28
NV,*,/,1,28
NV,*,/,1,119
NV,*,/,1,96
NV,*,/,2,124
NV,*,/,1,12
NV,*,/,1,61
NV,*,/,2,104
NV,*,/,9,193
NV,*,/,1,16
RV,*,/,1,5
RV,*,/,1,22
RV,*,/,1,10
NV,*,/,1,27
NV,*,/,4,88
NV,*,/,2,23
RV,*,/,1,343
NV,*,/,1,50
NV,*,/,1,61
NV,*,/,1,15
NV,*,/,2,50
NV,*,/,1,19
NV,*,/,1,58
NV,*,/,1,10
NV,*,/,1,18
NV,*,/,1,186
NV,*,/,1,23
RV,*,/,1,87
NV,*,/,1,25
NV,*,/,1,45
RV,*,/,1,103
NV,*,/,1,4
RV,*,/,1,42
NV,*,/,2,94
RV,*,/,1,5
NV,*,/,1,76
NV,*,/,2,42
NV,*,/,1,35
RV,*,/,1,74
NV,*,/,1,28
NV,*,/,2,170
NV,*,/,3,636
NV,*,/,41,2802
RV,*,/,4,387
NV,*,/,3,105
RV,*,/,2,258
NV,*,/,1,34
NV,*,/,2,191
NV,*,/,2,31
NV,*,/,1,30
NV,*,/,1,15
NV,*,/,1,42
NV,*,/,1,14
RV,*,/,1,16
NV,*,/,1,43
NV,*,/,2,21
NV,*,/,1,58
NV,*,/,2,1023
NV,*,/,1,29
NV,*,/,1,35
NV,*,/,1,9
NV,*,/,2,815
NV,*,/,1,72
NV,*,/,1,23
NV,*,/,1,23
RV,*,/,1,24
NV,*,/,1,35
NV,*,/,2,27
NV,*,/,1,31
NV,*,/,1,178
NV,*,/,1,81
NV,*,/,2,234
NV,*,/,2,61
NV,*,/,1,30
NV,*,/,1,16
NV,*,/,1,39
NV,*,/,1,61
NV,*,/,1,168
NV,*,/,1,41
RV,*,/,1,30
NV,*,/,1,1146
NV,*,/,1,33
NV,*,/,1,11
NV,*,/,1,81
NV,*,/,1,53
NV,*,/,1,36
NV,*,/,1,8
NV,*,/,2,579
RV,*,/,1,18
NV,*,/,1,19
NV,*,/,1,28
NV,*,/,1,40
NV,*,/,3,80
RV,*,/,3,36
NV,*,/,1,32
NV,*,/,1,18
NV,*,/,1,47
NV,*,/,1,23
NV,*,/,1,133
RV,*,/,1,25
NV,*,/,1,36
NV,*,/,1,176
RV,*,/,1,191
NV,*,/,1,31
RV,*,/,1,117
NV,*,/,1,129
NV,*,/,1,83
NV,*,/,1,27
NV,*,/,1,42
NV,*,/,1,1110
NV,*,/,1,18
NV,*,/,1,11
NV,*,/,1,18
NV,*,/,1,34
RV,*,/,1,43
NV,*,/,1,13
NV,*,/,1,58
NV,*,/,1,10
NV,*,/,2,62
RV,*,/,1,24
NV,*,/,1,12
RV,*,/,1,37
NV,*,/,1,11
NV,*,/,1,51
NV,*,/,1,37
RV,*,/,1,26
RV,*,/,1,17
NV,*,/,1,135
NV,*,/,1,26
RV,*,/,1,26
RV,*,/,1,13
NV,*,/,1,14
NV,*,/,1,80
NV,*,/,1,37
NV,*,/,1,33
NV,*,/,1,24
NV,*,/,1,71
NV,*,/,1,30
NV,*,/,1,28
NV,*,/,1,74
NV,*,/,1,22
NV,*,/,1,47
NV,*,/,2,385
RV,*,/,1,22
NV,*,/,1,57
NV,*,/,1,527
NV,*,/,1,13
NV,*,/,1,28
NV,*,/,1,61
NV,*,/,1,38
NV,*,/,3,580
RV,*,/,1,44
NV,*,/,1,22
NV,*,/,1,23
NV,*,/,1,27
NV,*,/,1,60
NV,*,/,1,75
NV,*,/,1,34
NV,*,/,1,57
NV,*,/,1,87
RV,*,/,1,39
RV,*,/,1,63
RV,*,/,1,16
RV,*,/,1,128
RV,*,/,2,28
NV,*,/,1,39
NV,*,/,1,13
NV,*,/,1,10
NV,*,/,1,32
NV,*,/,2,64
NV,*,/,1,44
NV,*,/,1,15
NV,*,/,1,88
NV,*,/,1,986
NV,*,/,1,662
NV,*,/,1,138
RV,*,/,1,94
NV,*,/,1,23
NV,*,/,1,150
RV,*,/,1,49
NV,*,/,3,914
RV,*,/,1,40
NV,*,/,1,36
RV,*,/,1,7
NV,*,/,2,19
NV,*,/,1,14
NV,*,/,1,7
RV,*,/,1,8
NV,*,/,1,6
NV,*,/,2,24
NV,*,/,43,1213
NV,*,/,14,356
NV,*,/,5,71
RV,*,/,2,22
RV,*,/,3,35
RV,*,/,9,205
RV,*,/,1,8
NV,*,/,18,359
NV,*,/,3,57
NV,*,/,2,33
RV,*,/,1,5
RV,*,/,1,60
NV,*,/,1,12
NV,*,/,8,173
NV,*,/,15,295
NV,*,/,1,23
RV,*,/,1,819
RV,*,/,3,27
NV,*,/,2,40
NV,*,/,5,83
NV,*,/,1,8
RV,*,/,1,9
NV,*,/,1,13
NV,*,/,2,26
NV,*,/,4,113
RV,*,/,2,18
NV,*,/,1,9
NV,*,/,2,15
RV,*,/,1,11
RV,*,/,1,2
RV,*,/,1,44
NV,*,/,1,10
NV,*,/,1,24
RV,*,/,1,10
NV,*,/,1,52
NV,*,/,1,41
NV,*,/,1,19
NV,*,/,1,9
NV,*,/,1,177
NV,*,/,1,28
NV,*,/,1,11
NV,*,/,1,8
NV,*,/,1,10
RV,*,/,1,7
NV,*,/,1,4
NV,*,/,1,14
RV,*,/,1,499
RV,*,/,1,17
NV,*,/,1,9
NV,*,/,1,304
NV,*,/,1,35
RV,*,/,1,26
RV,*,/,1,13
NV,*,/,2,47
NV,*,/,5,119
RV,*,/,1,59
RV,*,/,4,44
NV,*,/,2,42
NV,*,/,6,76
RV,*,/,3,26
RV,*,/,3,28
NV,*,/,1,9
RV,*,/,2,29
NV,*,/,2,29
NV,*,/,1,17
NV,*,/,1,9
RV,*,/,2,74
NV,*,/,1,271
RV,*,/,1,10
NV,*,/,1,27
RV,*,/,1,5
NV,*,/,8,1146
RV,*,/,1,9
RV,*,/,8,164
NV,*,/,1,82
NV,*,/,1,6
RV,*,/,1,35
NV,*,/,1,516
NV,*,/,1,10
RV,*,/,1,13
NV,*,/,2,103
RV,*,/,1,9
RV,*,/,1,28
NV,*,/,1,22
NV,*,/,1,42
NV,*,/,2,123
NV,*,/,1,7
NV,*,/,1,9
RV,*,/,1,5
NV,*,/,1,17
RV,*,/,1,11
RV,*,/,1,382
RV,*,/,1,12
NV,*,/,1,34
NV,*,/,1,12
NV,*,/,1,21
NV,*,/,1,93
RV,*,/,1,20
NV,*,/,1,208
NV,*,/,1,25
NV,*,/,1,14
NV,*,/,1,39
NV,*,/,1,23
RV,*,/,1,10
RV,*,/,1,18
NV,*,/,1,6
NV,*,/,1,23
NV,*,/,1,10
RV,*,/,1,14
NV,*,/,1,10
NV,*,/,1,8
NV,*,/,1,39
RV,*,/,1,6
RV,*,/,1,9
NV,*,/,1,13
RV,*,/,1,7
RV,*,/,1,8
NV,*,/,1,12
NV,*,/,8,158
NV,*,/,61,5053
NV,*,/,35,1232
NV,*,/,3,140
RV,*,/,5,220
RV,*,/,1,7
RV,*,/,13,288
RV,*,/,1,9
NV,*,/,1,74
NV,*,/,2,43
NV,*,/,2,27
RV,*,/,1,15
NV,*,/,4,120
NV,*,/,3,41
RV,*,/,2,170
NV,*,/,2,24
RV,*,/,2,27
NV,*,/,1,55
NV,*,/,3,68
RV,*,/,2,115
RV,*,/,1,15
NV,*,/,1,11
NV,*,/,1,5
RV,*,/,1,9
RV,*,/,1,8
NV,*,/,1,55
NV,*,/,1,137
NV,*,/,2,44
RV,*,/,13,4257
RV,*,/,1,5
NV,*,/,2,14
NV,*,/,2,53
NV,*,/,3,78
NV,*,/,1,8
RV,*,/,1,31
NV,*,/,1,24
NV,*,/,1,27
NV,*,/,3,68
RV,*,/,4,161
RV,*,/,1,7
NV,*,/,1,8
NV,*,/,1,213
NV,*,/,1,71
RV,*,/,1,157
RV,*,/,1,15
NV,*,/,1,27
RV,*,/,1,14
NV,*,/,1,7
RV,*,/,1,9
RV,*,/,1,20
NV,*,/,1,533
RV,*,/,1,1000
NV,*,/,1,10
NV,*,/,1,8
NV,*,/,1,14
NV,*,/,1,9
RV,*,/,1,472
RV,*,/,1,7
NV,*,/,1,12
NV,*,/,1,22
NV,*,/,1,21
RV,*,/,1,10
RV,*,/,1,200
NV,*,/,1,15
RV,*,/,2,29
NV,*,/,1,7
RV,*,/,1,16
RV,*,/,1,32
NV,*,/,2,33
NV,*,/,1,45
NV,*,/,1,14
NV,*,/,1,9
RV,*,/,1,6
NV,*,/,1,168
NV,*,/,1,20
NV,*,/,1,26
RV,*,/,1,8
NV,*,/,2,17
NV,*,/,1,8
NV,*,/,2,19
NV,*,/,1,618
NV,*,/,1,23
NV,*,/,1,11
NV,*,/,1,14
NV,*,/,1,11
NV,*,/,1,215
NV,*,/,2,87
RV,*,/,1,9
NV,*,/,1,11
RV,*,/,1,8
NV,*,/,1,26
NV,*,/,1,12
NV,*,/,3,78
NV,*,/,1,72
RV,*,/,1,14
NV,*,/,1,12
NV,*,/,1,15
NV,*,/,1,6
NV,*,/,8,156
NV,*,/,2,40
NV,*,/,1,4
NV,*,/,1,10
NV,*,/,1,18
NV,*,/,3,454
RV,*,/,1,13
RV,*,/,1,7
NV,*,/,1,62
NV,*,/,1,26
NV,*,/,1,23
NV,*,/,1,25
NV,*,/,1,14
NV,*,/,1,49
RV,*,/,1,11
RV,*,/,1,12
RV,*,/,1,86
NV,*,/,2,320
RV,*,/,1,37
NV,*,/,1,34
RV,*,/,1,51
NV,*,/,1,20
NV,*,/,1,16
RV,*,/,1,21
RV,*,/,1,12
NV,*,/,1,44
RV,*,/,1,51
NV,*,/,1,14
NV,*,/,1,16
NV,*,/,2,29
NV,*,/,23,454
NV,*,/,24,296
NV,*,/,2,47
RV,*,/,5,95
NV,*,/,1,12
NV,*,/,7,111
NV,*,/,6,73
NV,*,/,2,114
RV,*,/,1,10
NV,*,/,3,37
NV,*,/,3,175
NV,*,/,8,133
RV,*,/,8,231
NV,*,/,2,30
NV,*,/,1,8
NV,*,/,1,31
NV,*,/,1,9
NV,*,/,4,87
RV,*,/,3,77
NV,*,/,1,14
NV,*,/,4,66
RV,*,/,1,27
NV,*,/,2,22
NV,*,/,3,71
RV,*,/,1,14
NV,*,/,1,10
NV,*,/,1,11
RV,*,/,1,6
NV,*,/,1,128
RV,*,/,1,20
RV,*,/,1,10
RV,*,/,1,17
RV,*,/,1,10
NV,*,/,1,8
NV,*,/,1,15
NV,*,/,1,23
NV,*,/,1,22
NV,*,/,1,12
NV,*,/,1,12
NV,*,/,1,1693
NV,*,/,1,200
NV,*,/,1,45
NV,*,/,1,8
NV,*,/,1,14
NV,*,/,1,9
NV,*,/,1,14
NV,*,/,1,36
RV,*,/,2,18
NV,*,/,3,89
NV,*,/,3,30
NV,*,/,1,6
RV,*,/,2,52
NV,*,/,1,45
NV,*,/,3,94
RV,*,/,1,9
NV,*,/,1,14
RV,*,/,1,2
NV,*,/,2,30
RV,*,/,1,8
NV,*,/,1,33
RV,*,/,2,89
RV,*,/,1,8
NV,*,/,1,46
NV,*,/,1,22
RV,*,/,1,14
NV,*,/,1,30
NV,*,/,1,131
NV,*,/,1,23
NV,*,/,5,71
RV,*,/,3,77
RV,*,/,3,24
NV,*,/,1,9
NV,*,/,1,13
RV,*,/,2,28
NV,*,/,1,7
NV,*,/,1,4
NV,*,/,1,27
NV,*,/,1,7
NV,*,/,1,7
NV,*,/,1,11
NV,*,/,1,6
NV,*,/,1,18
RV,*,/,1,22
NV,*,/,1,7
NV,*,/,1,47
NV,*,/,1,5
NV,*,/,1,9
NV,*,/,1,3
NV,*,/,1,14
NV,*,/,1,25
NV,*,/,1,35
NV,*,/,6,98
NV,*,/,1,23
NV,*,/,1,23
NV,*,/,1,19
NV,*,/,1,15
RV,*,/,1,18
NV,*,/,1,20
NV,*,/,1,7
NV,*,/,1,656
NV,*,/,1,21
RV,*,/,1,10
RV,*,/,1,9
RV,*,/,1,10
NV,*,/,1,7
NV,*,/,1,17
NV,*,/,1,7
NV,*,/,1,27
RV,*,/,1,6
NV,*,/,1,17
NV,*,/,1,1
RV,*,/,1,809
NV,*,/,15,483
NV,*,/,21,1900
NV,*,/,34,2156
NV,*,/,3,59
RV,*,/,13,582
RV,*,/,22,1079
RV,*,/,1,9
NV,*,/,1,13
NV,*,/,2,23
NV,*,/,2,77
RV,*,/,1,9
RV,*,/,3,70
RV,*,/,1,11
NV,*,/,3,41
NV,*,/,4,74
NV,*,/,1,63
NV,*,/,1,19
NV,*,/,1,13
NV,*,/,1,62
RV,*,/,1,21
NV,*,/,2,51
NV,*,/,10,129
RV,*,/,1,9
RV,*,/,4,372
NV,*,/,3,30
NV,*,/,2,24
NV,*,/,1,25
RV,*,/,1,7
NV,*,/,1,101
NV,*,/,1,8
RV,*,/,1,33
NV,*,/,1,9
NV,*,/,1,25
NV,*,/,1,77
NV,*,/,1,7
NV,*,/,1,34
NV,*,/,1,29
NV,*,/,7,202
RV,*,/,1,22
RV,*,/,2,23
NV,*,/,1,19
NV,*,/,1,11
RV,*,/,1,308
NV,*,/,1,17
RV,*,/,1,7
NV,*,/,2,20
NV,*,/,2,19
RV,*,/,2,12
NV,*,/,1,80
RV,*,/,1,5
NV,*,/,1,8
NV,*,/,1,22
NV,*,/,1,7
NV,*,/,1,174
NV,*,/,1,51
RV,*,/,1,95
RV,*,/,1,17
NV,*,/,1,20
NV,*,/,2,22
NV,*,/,1,18
RV,*,/,1,6
NV,*,/,1,6
RV,*,/,1,17
RV,*,/,1,50
NV,*,/,1,12
RV,*,/,1,14
NV,*,/,1,39
NV,*,/,1,47
RV,*,/,1,7
NV,*,/,1,9
RV,*,/,1,4
NV,*,/,1,23
NV,*,/,1,18
NV,*,/,3,34
NV,*,/,1,38
RV,*,/,1,10
NV,*,/,1,8
NV,*,/,1,4
NV,*,/,1,15
NV,*,/,1,9
